Cue,Answer,letter_color,compatible,color_1,color_2,color_3,color_4,key_1,key_2,key_3,key_4,finger_1,finger_2,finger_3,finger_4,
PURPLE,z,Purple,compatible,purple,green,red,blue,D,F,J,K,left middle,left index,right index,right middle,
PURPLE,z,Green,incompatible,purple,green,red,blue,D,F,J,K,left middle,left index,right index,right middle,
PURPLE,z,Red,incompatible,purple,green,red,blue,D,F,J,K,left middle,left index,right index,right middle,
PURPLE,z,Blue,incompatible,purple,green,red,blue,D,F,J,K,left middle,left index,right index,right middle,
GREEN,x,Purple,incompatible,purple,green,red,blue,D,F,J,K,left middle,left index,right index,right middle,
GREEN,x,Green,compatible,purple,green,red,blue,D,F,J,K,left middle,left index,right index,right middle,
GREEN,x,Red,incompatible,purple,green,red,blue,D,F,J,K,left middle,left index,right index,right middle,
GREEN,x,Blue,incompatible,purple,green,red,blue,D,F,J,K,left middle,left index,right index,right middle,
RED,n,Purple,incompatible,purple,green,red,blue,D,F,J,K,left middle,left index,right index,right middle,
RED,n,Green,incompatible,purple,green,red,blue,D,F,J,K,left middle,left index,right index,right middle,
RED,n,Red,compatible,purple,green,red,blue,D,F,J,K,left middle,left index,right index,right middle,
RED,n,Blue,incompatible,purple,green,red,blue,D,F,J,K,left middle,left index,right index,right middle,
BLUE,m,Purple,incompatible,purple,green,red,blue,D,F,J,K,left middle,left index,right index,right middle,
BLUE,m,Green,compatible,purple,green,red,blue,D,F,J,K,left middle,left index,right index,right middle,
BLUE,m,Red,incompatible,purple,green,red,blue,D,F,J,K,left middle,left index,right index,right middle,
BLUE,m,Blue,compatible,purple,green,red,blue,D,F,J,K,left middle,left index,right index,right middle,
,,,,,,,,,,,,,,,,
